Kategori,Başlık,İçerik,Tarih
Pazarlama,"Yeni sezon indirimleri başladı, kaçırmayın!","Merhaba, mağazamızda yeni sezon ürünlerinde büyük indirimler başladı! Dolabınızı yenilemek için harika bir fırsat. Acele edin, stoklar sınırlı!",2025-10-31 22:18:03
Pazarlama,Sepetinizde ürünler sizi bekliyor!,Unuttunuz mu? Sepetinizdeki ürünleri tamamlamayı unutmayın! Size özel %10 indirim kodu: UNUTMA10.,2025-10-31 22:18:03
Pazarlama,Favori markanızda kaçırılmayacak fırsat!,"Sevgili [Kullanıcı Adı], [Marka Adı]'nda sadece size özel indirimler başladı! Hemen tıklayın ve avantajlı alışverişin tadını çıkarın.",2025-10-31 22:18:03
Pazarlama,Kargom nerede?,"Merhaba, siparişiniz kargoya verildi! Takip numaranız: [Takip Numarası]. Tahmini teslim tarihi: [Tarih].",2025-10-31 22:18:03
Pazarlama,Siparişiniz onaylandı!,Siparişiniz başarıyla alındı! Sipariş numaranız: [Sipariş Numarası]. En kısa sürede hazırlanıp kargoya verilecektir.,2025-10-31 22:18:03
Pazarlama,Ayakkabı alışverişinde şahane indirimler!,Merhaba! Yeni sezon ayakkabılarda %50'ye varan indirimleri kaçırmayın. Her zevke uygun modelimiz mevcut.,2025-10-31 22:18:03
Pazarlama,Üyelik avantajlarından faydalanın!,"Merhaba [Kullanıcı Adı], üyeliğinize özel sürpriz indirim kuponunuzu kullanmayı unutmayın! Sadece size özel fırsatlar devam ediyor.",2025-10-31 22:18:03
Pazarlama,Anneler Günü'ne özel hediye önerileri,Anneler Günü yaklaşıyor! Annenize en özel hediyeyi seçmeniz için size özel önerilerimiz var. Hemen göz atın!,2025-10-31 22:18:03
Pazarlama,Yeni ürünlerimiz geldi!,"Merhaba, yepyeni ürünlerimiz stoklarımızda! İlk alışverişe özel %15 indirim fırsatını kaçırmayın.",2025-10-31 22:18:03
Pazarlama,Satın aldığınız ürün hakkında ne düşünüyorsunuz?,"Merhaba [Kullanıcı Adı], yakın zamanda satın aldığınız [Ürün Adı] hakkındaki görüşlerinizi bizimle paylaşır mısınız? Değerli geri bildirimleriniz bizim için çok önemli.",2025-10-31 22:18:03
Pazarlama,Ücretsiz kargo fırsatı sadece bugün!,"Merhaba! Bugün yapacağınız tüm alışverişlerde kargo ücretsiz! Fırsatı kaçırmayın, hemen alışverişe başlayın.",2025-10-31 22:18:03
Pazarlama,İade talebiniz alındı,"Merhaba, iade talebiniz başarıyla alınmıştır. İade süreciniz hakkında bilgilendirme en kısa sürede yapılacaktır.",2025-10-31 22:18:03
Pazarlama,[Ürün Adı] tekrar stokta!,"Merhaba, çok istediğiniz [Ürün Adı] tekrar stoklarımızda! Acele edin, tükenmeden alın!",2025-10-31 22:18:03
Pazarlama,Alışveriş çılgınlığı başladı!,Sezonun en büyük indirimleri başladı! Tüm ürünlerde inanılmaz fırsatlar sizi bekliyor. Stoklar tükenmeden yakalayın!,2025-10-31 22:18:03
Pazarlama,Hediye çeki kazandınız!,Tebrikler! [Miktar] değerinde hediye çeki kazandınız! Hemen alışverişe başlayarak keyfini çıkarın.,2025-10-31 22:18:03
Pazarlama,Ev dekorasyonunda büyük fırsatlar!,Evinizi yenilemenin tam zamanı! Ev dekorasyon ürünlerinde kaçırılmayacak indirimler başladı. Hemen göz atın!,2025-10-31 22:18:03
Pazarlama,Teknoloji ürünlerinde dev indirimler!,"En son teknoloji ürünlerinde inanılmaz fırsatlar! Telefonlardan bilgisayarlara, aradığınız her şey burada.",2025-10-31 22:18:03
Pazarlama,Favori ürünlerinize özel indirim!,"Merhaba, favorilerinize eklediğiniz ürünlerde size özel indirimler başladı! Hemen alışverişe başlayın.",2025-10-31 22:18:03
Pazarlama,Yeni üyelere özel hoş geldin indirimi!,Merhaba! Sitemize hoş geldiniz! İlk alışverişinize özel %20 indirimden faydalanmak için [İndirim Kodu] kodunu kullanın.,2025-10-31 22:18:03
Pazarlama,Siparişiniz yola çıktı!,"Merhaba, siparişiniz hazırlanıp kargoya verildi! En kısa sürede adresinize ulaşacaktır. İyi alışverişler dileriz!",2025-10-31 22:18:03
Eğitim/Öğretim,Ödev teslim tarihi uzatıldı,"Merhaba öğrenciler, yoğunluğunuzu dikkate alarak ödev teslim tarihini 1 hafta uzattım. Başarılar dilerim!",2025-10-31 22:18:22
Eğitim/Öğretim,Yaz okulu başvuruları başladı,Yaz okuluna başvurular bugün itibariyle başlamıştır. Detaylı bilgi için web sitemizi ziyaret edebilirsiniz.,2025-10-31 22:18:22
Eğitim/Öğretim,Matematik dersi ek çalışma,"Merhaba, matematik dersinde zorlanan öğrenciler için yarın öğleden sonra ek çalışma yapılacaktır. Katılmak isteyenler bekliyorum.",2025-10-31 22:18:22
Eğitim/Öğretim,Yeni dönem ders programı,Yeni dönemin ders programı sisteme yüklenmiştir. Lütfen kontrol etmeyi unutmayın.,2025-10-31 22:18:22
Eğitim/Öğretim,Sınav sonuçları açıklandı,Sınav sonuçlarınız öğrenci bilgi sistemine yüklenmiştir. Başarılarınızı dilerim.,2025-10-31 22:18:22
Eğitim/Öğretim,Veliler toplantısı daveti,"Değerli velilerimiz, 15 Mayıs'ta okulumuzda veli toplantısı yapılacaktır. Katılımınız önemlidir.",2025-10-31 22:18:22
Eğitim/Öğretim,Eğitim materyalleri hakkında,"Sevgili öğrenciler, bu haftaki ders için gerekli olan materyalleri sisteme yükledim. İndirmeyi unutmayın.",2025-10-31 22:18:22
Eğitim/Öğretim,Staj başvuruları için son tarih hatırlatması,Staj başvuruları için son tarihin yaklaştığını hatırlatmak isterim. Başvurularınızı tamamlamayı unutmayın.,2025-10-31 22:18:22
Eğitim/Öğretim,Online derse katılım linki,Yarınki online dersin katılım linki aşağıdadır. Saatinde derste hazır bulunun lütfen.,2025-10-31 22:18:22
Eğitim/Öğretim,Proje grupları oluşturuldu,Dönem sonu projesi için gruplar oluşturulmuştur. Listeyi panoda görebilirsiniz.,2025-10-31 22:18:22
Eğitim/Öğretim,İngilizce konuşma pratiği etkinliği,İngilizce konuşma pratiği etkinliğimiz bu cumartesi. Katılmak isteyenleri bekliyoruz.,2025-10-31 22:18:22
Eğitim/Öğretim,Seminer: Kariyer Planlaması,Gelecek hafta kariyer planlaması semineri düzenlenecektir. Katılmak isteyenler kayıt yaptırabilir.,2025-10-31 22:18:22
Eğitim/Öğretim,Ders değişikliği duyurusu,"Salı günkü dersimiz, öğretmenin rahatsızlığı nedeniyle Cuma gününe alınmıştır. Bilginize.",2025-10-31 22:18:22
Eğitim/Öğretim,Okul gezisi başvuruları,Haftaya düzenlenecek okul gezisine katılmak isteyenler başvurularını yapabilirler.,2025-10-31 22:18:22
Eğitim/Öğretim,Kütüphane çalışma saatleri değişti,Kütüphanemizin yeni çalışma saatleri web sitemizde yayınlanmıştır. Kontrol edebilirsiniz.,2025-10-31 22:18:22
Eğitim/Öğretim,Öğrenci temsilcisi seçimi,Yeni dönem öğrenci temsilcisi seçimi için adaylık başvuruları başlamıştır.,2025-10-31 22:18:22
Eğitim/Öğretim,Yazılım kursu duyurusu,Okulumuzda temel yazılım kursu açılacaktır. İlgilenen öğrenciler kayıt olabilir.,2025-10-31 22:18:22
Eğitim/Öğretim,Akademik danışmanlık randevusu,Akademik danışmanınızla görüşmek için randevu almayı unutmayın. Başarılar.,2025-10-31 22:18:22
